latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
56.1487,-119.4577,318.9,1.6,1.2,2024-01-01,2139,Aqua,MODIS,53,61.03,266.8,45,D,0
52.2269,-112.6734,307.6,1,1,2024-01-02,2041,Aqua,MODIS,62,61.03,270.3,14,D,0
52.5329,-112.4523,301.5,1,1,2024-01-02,2041,Aqua,MODIS,48,61.03,269.5,10.3,D,0
50.9015,-121.3646,345.1,1,1,2024-01-03,2122,Aqua,MODIS,0,61.03,275.2,57.1,D,0
50.9036,-121.3507,343,1,1,2024-01-03,2122,Aqua,MODIS,0,61.03,274.9,53.5,D,0
52.7328,-113.7937,304.6,1.8,1.3,2024-01-04,1850,Terra,MODIS,52,61.03,268.9,29.2,D,0
50.6832,-114.3481,301.6,1.7,1.3,2024-01-04,2025,Aqua,MODIS,36,61.03,272.2,19.1,D,0
50.6841,-114.3417,300.5,1.7,1.3,2024-01-04,2025,Aqua,MODIS,28,61.03,272.1,18.9,D,0
50.9114,-121.3726,325.3,2.2,1.4,2024-01-04,2203,Aqua,MODIS,75,61.03,274.2,83.3,D,0
49.5591,-123.9578,301.6,1.1,1,2024-01-11,1840,Terra,MODIS,48,61.03,272.5,9.8,D,0
49.5573,-123.9435,301.2,1.1,1,2024-01-11,1840,Terra,MODIS,45,61.03,272.2,9.7,D,0
49.5479,-123.9551,311.2,1.4,1.2,2024-01-11,2158,Aqua,MODIS,31,61.03,271.6,23.4,D,0
52.0155,-115.5601,347.2,1,1,2024-01-20,1812,Terra,MODIS,0,61.03,267.5,65.2,D,0
54.6925,-116.2458,371.6,1.4,1.2,2024-01-22,2123,Aqua,MODIS,100,61.03,267.8,0,D,0
54.2232,-117.4646,300.6,1,1,2024-01-23,1835,Terra,MODIS,37,61.03,270.9,9.3,D,0
53.899,-117.1983,303.3,1,1,2024-01-23,1835,Terra,MODIS,56,61.03,268.5,11.7,D,0
53.9077,-117.1942,339.1,1,1,2024-01-23,1835,Terra,MODIS,86,61.03,268.5,49.5,D,0
54.2145,-117.4685,363.5,1,1,2024-01-23,1835,Terra,MODIS,94,61.03,273.9,103.6,D,0
54.2185,-117.4347,372.1,1,1,2024-01-23,1835,Terra,MODIS,0,61.03,275.6,131.8,D,0
54.2209,-117.4496,375.9,1,1,2024-01-23,1835,Terra,MODIS,87,61.03,277.1,146.4,D,0
54.3134,-116.3921,344.8,1.1,1,2024-01-23,1835,Terra,MODIS,0,61.03,266.8,63.1,D,0
54.2624,-116.7002,309.5,1.7,1.3,2024-01-23,2026,Aqua,MODIS,60,61.03,270.6,29.4,D,0
53.8852,-117.2667,311.4,1.8,1.3,2024-01-23,2026,Aqua,MODIS,0,61.03,266,34.7,D,0
54.9205,-118.2886,321.6,1.9,1.3,2024-01-23,2027,Aqua,MODIS,0,61.03,266.5,64.9,D,0
54.6729,-116.0613,324.1,2.2,1.4,2024-01-24,0409,Terra,MODIS,100,61.03,267.4,87.7,N,0
54.6729,-116.0683,320.6,2.2,1.4,2024-01-24,0409,Terra,MODIS,100,61.03,267.1,74.6,N,0
55.4526,-121.6004,304.7,1.6,1.3,2024-01-24,0547,Terra,MODIS,61,61.03,268.7,23.9,N,0
55.4508,-121.6253,302.4,1.6,1.3,2024-01-24,0547,Terra,MODIS,49,61.03,268.1,21,N,0
54.2009,-117.4016,308.8,2.3,1.5,2024-01-24,1915,Terra,MODIS,37,61.03,270.2,40.9,D,0
54.3121,-116.7689,358.1,1,1,2024-01-24,2107,Aqua,MODIS,99,61.03,273.2,88.8,D,0
54.3142,-116.7536,349.3,1,1,2024-01-24,2107,Aqua,MODIS,96,61.03,271.9,67.5,D,0
