latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
33.8647,-4.1578,304,2.5,1.5,2024-01-01,1319,Aqua,MODIS,58,61.03,287.5,24.5,D,0
33.7936,-3.9894,316,1.1,1,2024-01-02,1400,Aqua,MODIS,75,61.03,292.8,13.6,D,0
34.8635,-5.2297,313.2,1.1,1,2024-01-14,1406,Aqua,MODIS,70,61.03,296.5,11.3,D,0
23.7297,-15.7709,301.4,1,1,2024-01-20,2240,Terra,MODIS,41,61.03,288.2,6.2,N,0
34.3699,-6.5746,302.2,1,1,2024-01-21,1044,Terra,MODIS,51,61.03,288.6,5.4,D,0
34.1066,-6.1126,300.9,1.2,1.1,2024-01-23,1027,Terra,MODIS,43,61.03,290.1,4.7,D,0
30.5292,-8.8007,312.3,1.5,1.2,2024-01-24,1109,Terra,MODIS,66,61.03,299.5,11.3,D,0
34.7227,-4.4672,323.4,1.3,1.1,2024-01-26,1050,Terra,MODIS,82,61.03,293.9,31.2,D,0
34.72,-4.4516,323.6,1.3,1.1,2024-01-26,1050,Terra,MODIS,82,61.03,290.6,31.3,D,0
34.0785,-4.569,312.7,1.3,1.1,2024-01-26,1051,Terra,MODIS,72,61.03,294.5,14.2,D,0
30.1647,-9.3316,317.1,1.1,1,2024-01-31,1058,Terra,MODIS,77,61.03,300.4,10.4,D,0
35.8773,-5.4617,310.5,1.1,1,2024-02-04,1350,Aqua,MODIS,29,61.03,284.9,9.9,D,0
33.9141,-5.5089,304.3,1.1,1,2024-02-07,1046,Terra,MODIS,57,61.03,291.9,5.5,D,0
30.106,-9.4541,309.9,1,1,2024-02-12,1054,Terra,MODIS,60,61.03,295.2,6.1,D,0
30.6129,-8.5558,319.6,1.1,1,2024-02-12,1424,Aqua,MODIS,65,61.03,303.5,9.7,D,0
34.6755,-4.3643,308.2,1.1,1,2024-02-21,1025,Terra,MODIS,52,61.03,295.3,5.6,D,0
32.3823,-6.9563,322.4,1,1,2024-02-21,1403,Aqua,MODIS,59,61.03,309.9,10.3,D,0
