latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
41.0046,-0.3862,307.9,1.1,1.1,2024-01-01,1321,Aqua,MODIS,58,61.03,285.4,11.3,D,0
37.0632,-5.6409,314.8,1,1,2024-01-02,1401,Aqua,MODIS,75,61.03,296.2,10.5,D,0
38.6394,-0.0056,323.3,1,1,2024-01-06,0227,Aqua,MODIS,100,61.03,282.3,24.9,N,0
38.2507,-1.6787,313.4,1.1,1,2024-01-06,1331,Aqua,MODIS,69,61.03,287.1,14.8,D,0
38.2487,-1.6908,305.8,1.1,1,2024-01-06,1331,Aqua,MODIS,59,61.03,286.7,8.7,D,0
37.6842,-1.1622,308.6,1.1,1,2024-01-06,1331,Aqua,MODIS,67,61.03,290.5,8.8,D,0
37.762,-1.7053,300.3,1.1,1,2024-01-06,1331,Aqua,MODIS,33,61.03,288.8,4.6,D,0
38.2578,-1.6932,310.7,1.1,1,2024-01-06,1331,Aqua,MODIS,62,61.03,286.4,11.9,D,0
39.6508,-2.8141,311.1,1.1,1.1,2024-01-06,1331,Aqua,MODIS,62,61.03,278.9,15.7,D,0
39.9111,-2.8144,303.5,1.1,1.1,2024-01-06,1331,Aqua,MODIS,49,61.03,279.3,10.2,D,0
39.9089,-2.8273,312.4,1.1,1.1,2024-01-06,1331,Aqua,MODIS,63,61.03,279.1,17.4,D,0
43.5241,-5.7284,303.8,1.4,1.2,2024-01-06,2128,Terra,MODIS,57,61.03,278.1,16.3,N,2
42.0675,2.9447,301.7,1.1,1,2024-01-08,1005,Terra,MODIS,48,61.03,279.6,8.4,D,0
41.595,0.3255,300.3,1.3,1.1,2024-01-08,1005,Terra,MODIS,35,61.03,279.2,10.3,D,0
41.5533,0.8866,303.3,1.1,1,2024-01-08,1316,Aqua,MODIS,55,61.03,282.1,8.9,D,0
43.5383,-5.8256,301.3,1,1,2024-01-09,0252,Aqua,MODIS,40,61.03,274.4,9.3,N,2
37.277,-3.7499,307.5,1.1,1,2024-01-11,1341,Aqua,MODIS,66,61.03,282.5,10.8,D,0
39.8851,-5.3293,307.3,1.1,1.1,2024-01-11,1342,Aqua,MODIS,61,61.03,284.4,11.9,D,0
39.8616,-0.1146,300.3,1.1,1,2024-01-11,1342,Aqua,MODIS,34,61.03,286,5.6,D,0
39.8874,-5.3164,319.5,1.1,1.1,2024-01-11,1342,Aqua,MODIS,75,61.03,284.6,23.5,D,0
28.0437,-16.6517,353.9,2.2,1.4,2024-01-11,1517,Aqua,MODIS,97,61.03,307.7,202.4,D,2
28.0458,-16.6295,326.9,2.2,1.4,2024-01-11,1517,Aqua,MODIS,76,61.03,306,53.9,D,2
28.0586,-16.632,335.7,2.2,1.4,2024-01-11,1517,Aqua,MODIS,87,61.03,306.5,91.7,D,0
